player_id,player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,npxG,xA,goals_scored,assists,bonus,clean_sheets,goals_conceded,minutes,total_points,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,cs_xP,bonus_xP,concede_xP,xP,avg_npxG,avg_xA,avg_bonus,avg_minutes
144,Conor Gallagher,M,3,1,2021-08-14,Crystal Palace,Chelsea,1,,,0,0,0,0,0,0,0,,,,,0.55,2.23,,,,,,,,,,
29,Conor Hourihane,M,8,1,2021-08-14,Aston Villa,Watford,1,,,0,0,0,0,0,0,0,,,,,1.45,1.19,,,,,,,,,,
379,Craig Cathcart,D,8,1,2021-08-14,Watford,Aston Villa,1,0.0,0.0,0,0,0,0,2,90,1,,,,,1.19,1.45,,,,,,,,,,
551,Crysencio Summerville,M,6,1,2021-08-14,Leeds,Man Utd,1,,,0,0,0,0,0,0,0,,,,,0.94,2.06,,,,,,,,,,
244,Curtis Jones,M,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
102,Dale Stephens,M,2,1,2021-08-14,Burnley,Brighton,1,,,0,0,0,0,0,0,0,,,,,1.19,1.31,,,,,,,,,,
378,Dan Gosling,M,8,1,2021-08-14,Watford,Aston Villa,1,0.0,0.0,0,0,0,0,0,21,1,,,,,1.19,1.45,,,,,,,,,,
208,Daniel Amartey,D,5,1,2021-08-14,Leicester,Wolves,1,0.0,0.0,0,0,0,1,0,90,6,,,,,1.65,0.95,,,,,,,,,,
389,Daniel Bachmann,G,8,1,2021-08-14,Watford,Aston Villa,1,0.0,0.0,0,0,0,0,2,90,1,,,,,1.19,1.45,,,,,,,,,,
438,Daniel Castelo Podence,M,5,1,2021-08-14,Wolves,Leicester,1,,,0,0,0,0,0,0,0,,,,,0.95,1.65,,,,,,,,,,
287,Daniel James,M,6,1,2021-08-14,Leeds,Man Utd,1,0.225,0.021,0,0,0,0,0,74,2,,,,,0.94,2.06,,,,,,,,,,
344,Daniel N'Lundulu,F,4,1,2021-08-14,Southampton,Everton,1,,,0,0,0,0,0,0,0,,,,,1.08,1.56,,,,,,,,,,
337,Danny Ings,F,8,1,2021-08-14,Aston Villa,Watford,1,0.0,0.0,1,0,1,0,0,90,7,,,,,1.45,1.19,,,,,,,,,,
377,Danny Rose,D,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
204,Danny Ward,G,5,1,2021-08-14,Leicester,Wolves,1,,,0,0,0,0,0,0,0,,,,,1.65,0.95,,,,,,,,,,
447,Danny Welbeck,F,2,1,2021-08-14,Brighton,Burnley,1,,,0,0,0,0,0,0,0,,,,,1.31,1.19,,,,,,,,,,
270,David de Gea,G,6,1,2021-08-14,Man Utd,Leeds,1,0.0,0.0,0,0,0,0,0,90,2,,,,,2.06,0.94,,,,,,,,,,
57,Davy Pröpper,M,2,1,2021-08-14,Brighton,Burnley,1,,,0,0,0,0,0,0,0,,,,,1.31,1.19,,,,,,,,,,
280,Dean Henderson,G,6,1,2021-08-14,Man Utd,Leeds,1,,,0,0,0,0,0,0,0,,,,,2.06,0.94,,,,,,,,,,
484,Demarai Gray,M,4,1,2021-08-14,Everton,Southampton,1,0.0,0.111,0,0,0,0,0,82,2,,,,,1.56,1.08,,,,,,,,,,
206,Dennis Praet,M,5,1,2021-08-14,Leicester,Wolves,1,,,0,0,0,0,0,0,0,,,,,1.65,0.95,,,,,,,,,,
190,Diego Llorente,D,6,1,2021-08-14,Leeds,Man Utd,1,,,0,0,0,0,0,0,0,,,,,0.94,2.06,,,,,,,,,,
457,Dimitris Giannoulis,D,7,1,2021-08-14,Norwich,Liverpool,1,0.0,0.038,0,0,0,0,3,90,1,,,,,0.84,2.2,,,,,,,,,,
240,Diogo Jota,M,7,1,2021-08-14,Liverpool,Norwich,1,0.607,0.0,1,0,0,1,0,60,8,,,,,2.2,0.84,,,,,,,,,,
235,Divock Origi,F,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
397,Domingos Quina,M,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
177,Dominic Calvert-Lewin,F,4,1,2021-08-14,Everton,Southampton,1,1.0,0.0,1,0,1,0,0,90,7,,,,,1.56,1.08,,,,,,,,,,
50,Douglas Luiz Soares de Paulo,M,8,1,2021-08-14,Aston Villa,Watford,1,,,0,0,0,0,0,0,0,,,,,1.45,1.19,,,,,,,,,,
118,Dwight McNeil,M,2,1,2021-08-14,Burnley,Brighton,1,0.0,0.08,0,0,0,0,0,78,2,,,,,1.19,1.31,,,,,,,,,,
160,Eberechi Eze,M,3,1,2021-08-14,Crystal Palace,Chelsea,1,,,0,0,0,0,0,0,0,,,,,0.55,2.23,,,,,,,,,,
269,Edinson Cavani,F,6,1,2021-08-14,Man Utd,Leeds,1,,,0,0,0,0,0,0,0,,,,,2.06,0.94,,,,,,,,,,
143,Edouard Mendy,G,3,1,2021-08-14,Chelsea,Crystal Palace,1,0.0,0.0,0,0,0,1,0,90,6,,,,,2.23,0.55,,,,,,,,,,
539,Emerson Palmieri dos Santos,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,0.0,0.0,0,0,0,0,0,4,1,,,,,2.23,0.55,,,,,,,,,,
