,0,1,2,3,4,5,6
385,,,,0.244,,0.0,
386,,,,0.536,,0.0,
387,,,,0.536,,0.0,
388,,,,0.298,,0.0,
389,,,,0.977,,0.0,
390,,,,1.193,,0.0,
391,,,,0.977,,0.0,
392,,,,1.193,,0.0,
393,,,,0.298,,0.0,
394,,,,1.193,,0.0,
395,,,,1.193,,0.0,
396,,,,1.193,,0.0,
397,,,,0.893,,0.0,
398,,,,1.193,,0.0,
399,,,,1.193,,0.0,
400,,,,0.134,,0.0,
401,,,,0.298,,0.0,
402,,,,0.298,,0.0,
403,,,,0.298,,0.0,
404,,,,1.193,,0.0,
405,,,,1.193,,0.0,
406,,,,0.298,,0.0,
407,,,,0.298,,0.0,
408,,,,1.193,,0.0,
409,,,,0.536,,0.0,
410,,,,0.536,,0.0,
411,,,,0.298,,0.0,
412,,,,0.893,,0.0,
413,,,,0.244,,0.0,
414,,,,0.298,,0.0,
415,,,,0.977,,0.0,
416,,,,0.893,,0.0,
417,,,,0.223,,0.0,
418,,,,0.977,,0.0,
419,,,,0.536,,0.0,
420,,,,0.977,,0.0,
421,,,,0.134,,0.0,
422,,,,0.244,,0.0,
423,,,,0.536,,0.0,
424,,,,0.0,,0.0,
425,,,,0.977,,0.0,
426,,,,0.977,,0.0,
427,,,,0.244,,0.0,
428,,,,0.298,,0.0,
429,,,,0.977,,0.0,
430,,,,0.134,,0.0,
431,,,,0.977,,0.0,
432,,,,0.244,,0.0,
433,,,,0.134,,0.0,
434,,,,0.244,,0.0,
435,,,,0.244,,0.0,
436,,,,0.977,,0.0,
437,,,,0.244,,0.0,
438,,,,0.0,,0.0,
439,,,,0.0,,0.0,
440,,,,0.134,,0.0,
441,,,0.0,1.058,-0.239,0.0,
442,0.0,1.317,0.0,1.305,-0.276,2.0,4.347
443,0.486,0.209,0.0,0.174,0.0,2.0,2.868
444,0.0,0.134,0.0,0.938,-0.334,2.0,2.738
445,0.0,1.199,0.0,0.204,0.0,2.0,3.403
446,0.648,0.0,0.0,0.273,0.0,2.0,2.921
447,0.0,0.0,0.0,1.305,-0.276,2.0,3.03
448,0.0,0.0,0.0,0.335,-0.259,2.0,2.076
449,0.239,0.0,0.0,0.695,-0.264,2.0,2.67
450,,,0.0,0.502,0.0,0.0,
451,,,0.0,0.0,0.0,0.0,
452,0.0,0.0,0.0,1.727,-0.276,2.0,3.451
453,,,0.0,0.235,0.0,0.0,
454,,,0.0,0.3,-0.278,0.0,
455,2.038,0.296,1.353,0.0,0.0,1.0,4.687
456,1.497,0.0,0.0,0.3,-0.278,2.0,3.519
457,0.0,0.0,0.0,1.305,-0.276,2.0,3.03
458,0.341,0.0,0.0,0.432,0.0,2.0,2.773
459,,,,0.695,-0.264,0.0,
460,0.0,0.0,0.0,0.0,0.0,1.0,1.0
461,,,0.0,0.938,-0.334,0.0,
462,0.0,0.0,0.0,1.158,-0.868,2.0,2.289
463,2.336,0.0,0.0,0.335,-0.259,2.0,4.412
464,,,0.0,0.075,0.0,0.0,
465,,,0.0,0.235,0.0,0.0,
466,0.262,0.246,0.0,0.938,-0.334,2.0,3.112
467,,,0.0,0.264,0.0,0.0,
468,0.076,0.0,0.0,0.174,0.0,2.0,2.25
469,0.0,0.0,0.0,0.816,-0.477,2.0,2.338
470,1.115,2.655,0.0,2.525,-0.506,2.0,7.789
471,0.182,0.0,0.0,0.0,0.0,1.0,1.182
472,0.0,0.0,0.0,0.432,0.0,1.0,1.432
473,1.148,0.0,0.0,2.006,-0.43,2.0,4.725
474,0.0,0.0,0.0,1.305,-0.276,1.0,2.03
475,0.084,0.076,0.0,0.075,0.0,2.0,2.235
476,,,0.0,0.502,0.0,0.0,
477,,,0.0,0.3,-0.278,0.0,
478,0.699,0.0,0.0,1.09,-0.11,2.0,3.679
479,,,0.0,0.695,-0.264,0.0,
480,,,0.0,1.158,-0.868,0.0,
481,0.0,0.0,0.0,2.525,-0.506,2.0,4.019
482,0.181,0.0,0.0,0.502,0.0,2.0,2.682
483,,,0.0,1.09,-0.11,0.0,
484,,,0.0,0.816,-0.477,0.0,
485,,,0.0,0.695,-0.264,0.0,
486,,,0.0,0.695,-0.264,0.0,
487,,,0.0,0.326,0.0,0.0,
488,0.062,0.0,0.0,0.174,0.0,1.0,1.235
489,,,0.0,1.09,-0.11,0.0,
490,,,,0.0,0.0,0.0,
491,0.0,0.0,0.0,0.289,0.0,2.0,2.289
492,0.0,0.046,0.0,0.3,-0.278,2.0,2.067
493,,,0.0,2.525,-0.506,0.0,
494,0.034,0.0,0.0,0.0,0.0,1.0,1.034
495,0.0,0.0,0.92,0.0,0.0,2.0,2.92
496,3.629,0.0,0.0,0.502,0.0,2.0,6.131
497,0.926,0.148,0.0,0.289,0.0,1.0,2.362
498,,,0.0,0.174,0.0,0.0,
499,0.159,0.0,0.0,0.084,0.0,2.0,2.243
500,,,0.0,0.204,0.0,0.0,
501,,,0.0,0.0,0.0,0.0,
502,0.339,0.206,0.92,2.006,-0.43,2.0,5.042
503,,,0.0,0.273,0.0,0.0,
504,,,0.0,0.631,0.0,0.0,
505,0.0,0.0,0.0,0.0,0.0,1.0,1.0
506,0.0,0.0,0.0,1.305,-0.276,2.0,3.03
507,,,0.0,0.816,-0.477,0.0,
508,,,0.0,0.695,-0.264,0.0,
509,,,0.0,0.816,-0.477,0.0,
510,0.0,0.138,0.0,0.273,0.0,2.0,2.411
511,,,0.0,0.335,-0.259,0.0,
512,0.0,0.008,0.0,0.335,-0.259,2.0,2.085
513,,,0.0,0.3,-0.278,0.0,
514,5.57,0.0,0.0,0.264,0.0,2.0,7.835
515,,,0.0,2.006,-0.43,0.0,
516,,,0.0,0.0,0.0,0.0,
517,0.0,0.0,0.92,1.058,-0.239,2.0,3.739
518,0.923,0.152,0.0,0.0,0.0,2.0,3.074
519,,,0.0,1.305,-0.276,0.0,
520,,,0.0,0.264,0.0,0.0,
521,,,0.0,0.0,0.0,0.0,
522,0.617,0.788,1.353,0.204,0.0,2.0,4.963
523,,,0.0,1.305,-0.276,0.0,
524,0.0,0.396,0.0,0.432,0.0,2.0,2.828
525,,,0.0,0.432,0.0,0.0,
526,,,0.0,2.525,-0.506,0.0,
527,,,0.0,2.006,-0.43,0.0,
528,0.331,0.0,0.0,2.525,-0.506,2.0,4.35
