player_id,fixture_id,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,xP
6,1,,,,,,
6,18,0.0,0.0,0.0,0.0,0.0,0.0
6,24,0.0,0.0,0.0,0.0,0.0,0.0
6,31,0.0,0.0,0.0,0.0,0.0,0.4
6,43,0.0,0.0,0.0,0.0,0.0,0.2
6,51,0.0,0.0,0.0,0.0,0.0,0.2
6,61,0.0,0.0,0.0,0.0,0.0,0.2
6,71,0.0,0.0,0.0,0.0,0.0,0.2
6,81,0.335,0.1,0.0,0.0,0.0,0.487
6,93,0.166,0.072,0.0,0.0,0.0,1.119
6,101,0.188,0.081,0.0,0.0,0.0,1.362
6,114,0.131,0.051,0.0,0.0,0.0,1.746
6,121,0.229,0.176,0.0,0.0,0.0,2.164
6,134,0.164,0.074,0.0,0.0,0.0,1.566
6,142,0.154,0.071,0.0,0.0,0.0,1.112
6,151,0.148,0.067,0.0,0.0,0.0,1.772
6,161,0.351,0.066,0.2,0.0,0.0,2.616
6,173,0.367,0.24,0.16,0.0,0.0,2.767
6,187,0.926,0.411,0.128,0.0,0.0,3.465
6,191,1.003,0.671,0.206,0.0,0.0,3.881
6,201,0.687,0.212,0.495,0.0,0.0,3.394
6,218,0.426,0.223,0.022,0.0,0.0,1.335
6,221,1.127,0.355,0.399,0.0,0.0,3.881
6,236,0.887,0.278,0.321,0.0,0.0,3.486
6,243,0.463,0.242,0.035,0.0,0.0,2.739
6,251,1.38,0.896,0.256,0.0,0.0,4.533
6,261,0.721,0.289,0.105,0.0,0.0,3.115
6,279,1.414,0.655,0.165,0.0,0.0,4.233
6,281,1.621,0.751,0.132,0.0,0.0,4.504
6,291,0.873,0.53,0.084,0.0,0.0,3.487
6,304,0.856,0.465,0.067,0.0,0.0,3.388
6,311,0.949,0.423,0.054,0.0,0.0,3.427
6,326,0.746,0.389,0.043,0.0,0.0,3.178
6,331,0.587,0.307,0.028,0.0,0.0,2.045
6,349,0.518,0.271,0.022,0.0,0.0,1.405
6,351,0.647,0.338,0.022,0.0,0.0,1.503
6,365,0.451,0.235,0.022,0.0,0.0,1.354
6,371,0.589,0.307,0.022,0.0,0.0,1.459
7,1,,,,,,
7,18,0.336,0.098,0.0,0.235,0.0,2.669
7,24,0.2,0.075,0.0,0.119,0.0,2.393
7,31,0.447,0.166,0.0,0.436,0.0,3.049
7,43,0.284,0.105,0.0,0.295,0.0,2.416
7,51,0.302,0.112,0.0,0.273,0.0,1.612
7,61,0.183,0.066,0.0,0.289,0.0,2.031
7,71,0.28,0.102,0.0,0.399,0.0,1.668
