fpl_id,understat_id,gameweek,kickoff_date,completed,home_team,away_team,home_score,away_score,home_proj_score,away_proj_score,home_xG,away_xG
152,16527,16.0,2021-12-10,1,Brentford,Watford,2.0,1.0,1.57,1.21,1.96,0.73
153,16528,29.0,2022-03-16,1,Brighton,Spurs,0.0,2.0,1.22,1.51,1.24,1.92
154,16529,16.0,2021-12-12,1,Burnley,West Ham,0.0,0.0,1.19,1.65,0.76,1.0
155,16530,16.0,2021-12-11,1,Chelsea,Leeds,3.0,2.0,2.13,0.73,2.88,1.83
156,16531,16.0,2021-12-12,1,Crystal Palace,Everton,3.0,1.0,1.38,1.13,2.1,1.15
157,16532,16.0,2021-12-12,1,Leicester,Newcastle,4.0,0.0,1.91,1.2,2.1,0.67
158,16533,16.0,2021-12-11,1,Liverpool,Aston Villa,1.0,0.0,2.77,0.76,2.84,0.18
159,16534,16.0,2021-12-11,1,Man City,Wolves,1.0,0.0,2.37,0.38,3.23,0.24
160,16535,16.0,2021-12-11,1,Norwich,Man Utd,0.0,1.0,0.99,1.83,1.12,2.15
161,16536,17.0,2021-12-15,1,Arsenal,West Ham,2.0,0.0,1.41,1.23,2.83,0.41
162,16537,22.0,2022-01-19,1,Brentford,Man Utd,1.0,3.0,1.23,1.58,2.29,1.82
163,16538,17.0,2021-12-15,1,Brighton,Wolves,0.0,1.0,1.26,0.76,1.37,1.18
164,16539,23.0,2022-02-05,1,Burnley,Watford,0.0,0.0,1.56,1.1,0.67,0.98
165,16542,17.0,2021-12-15,1,Crystal Palace,Southampton,2.0,2.0,1.41,1.08,1.77,0.67
166,16540,22.0,2022-01-19,1,Leicester,Spurs,2.0,3.0,1.44,1.73,2.0,4.45
167,16541,17.0,2021-12-14,1,Norwich,Aston Villa,0.0,2.0,1.12,1.45,0.64,1.64
168,16543,17.0,2021-12-16,1,Chelsea,Everton,1.0,1.0,2.22,0.77,3.48,0.66
169,16544,17.0,2021-12-16,1,Liverpool,Newcastle,3.0,1.0,3.16,0.59,3.68,0.21
170,16545,17.0,2021-12-14,1,Man City,Leeds,7.0,0.0,2.64,0.59,3.81,0.26
171,16546,37.0,2022-05-19,0,Aston Villa,Burnley,,,1.55,0.87,,
172,16547,33.0,2022-04-20,1,Everton,Leicester,1.0,1.0,1.46,1.37,1.87,0.81
173,16548,18.0,2021-12-18,1,Leeds,Arsenal,1.0,4.0,1.16,1.56,1.57,3.75
174,16549,25.0,2022-02-15,1,Man Utd,Brighton,2.0,0.0,1.42,1.12,2.83,1.12
175,16550,18.0,2021-12-19,1,Newcastle,Man City,0.0,4.0,0.68,2.9,0.28,3.24
176,16551,21.0,2022-01-11,1,Southampton,Brentford,4.0,1.0,1.39,1.17,1.78,0.73
177,16552,18.0,2021-12-19,1,Spurs,Liverpool,2.0,2.0,1.0,2.42,3.39,1.47
178,16553,26.0,2022-02-23,1,Watford,Crystal Palace,1.0,4.0,1.21,1.3,1.75,0.86
179,16554,21.0,2022-01-12,1,West Ham,Norwich,2.0,0.0,2.05,0.75,2.28,0.25
180,16555,18.0,2021-12-19,1,Wolves,Chelsea,0.0,0.0,0.84,1.68,0.36,0.87
181,16556,19.0,2021-12-26,1,Aston Villa,Chelsea,1.0,3.0,1.03,1.82,0.44,2.68
182,16557,19.0,2021-12-26,1,Brighton,Brentford,2.0,0.0,1.46,0.95,0.79,0.83
183,16558,31.0,2022-04-06,1,Burnley,Everton,3.0,2.0,1.22,1.02,2.12,2.35
184,16559,26.0,2022-02-23,1,Liverpool,Leeds,6.0,0.0,2.98,0.76,5.21,0.14
185,16560,19.0,2021-12-26,1,Man City,Leicester,6.0,3.0,2.87,0.67,3.8,2.52
186,16561,19.0,2021-12-27,1,Newcastle,Man Utd,1.0,1.0,1.1,1.9,1.11,1.97
187,16562,19.0,2021-12-26,1,Norwich,Arsenal,0.0,5.0,0.81,1.82,0.17,2.62
188,16563,19.0,2021-12-26,1,Spurs,Crystal Palace,3.0,0.0,1.59,1.09,3.1,0.26
189,16564,19.0,2021-12-26,1,West Ham,Southampton,2.0,3.0,1.67,0.97,1.57,1.19
190,16565,28.0,2022-03-10,1,Wolves,Watford,4.0,0.0,1.36,0.89,1.37,0.56
191,16566,26.0,2022-02-24,1,Arsenal,Wolves,2.0,1.0,1.47,0.66,2.82,0.99
192,16567,20.0,2021-12-29,1,Brentford,Man City,0.0,1.0,0.78,2.68,0.26,1.0
193,16568,20.0,2021-12-29,1,Chelsea,Brighton,1.0,1.0,1.81,0.71,0.71,0.99
194,16570,20.0,2021-12-28,1,Crystal Palace,Norwich,3.0,0.0,1.63,0.81,2.32,0.79
195,16571,29.0,2022-03-17,1,Everton,Newcastle,1.0,0.0,1.41,1.1,0.82,0.84
196,16572,28.0,2022-03-10,1,Leeds,Aston Villa,0.0,3.0,1.44,1.49,0.21,1.28
197,16573,20.0,2021-12-28,1,Leicester,Liverpool,1.0,0.0,1.23,2.71,0.68,3.59
