fpl_id,understat_id,fpl_name,position,team_name
336,790.0,Nathan Redmond,M,Southampton
337,986.0,Danny Ings,F,Aston Villa
338,1735.0,Jack Stephens,D,Southampton
339,6893.0,Stuart Armstrong,M,Southampton
340,111.0,Jannik Vestergaard,D,Leicester
341,843.0,James Ward-Prowse,M,Southampton
342,885.0,Kyle Walker-Peters,D,Southampton
343,6042.0,Jan Bednarek,D,Southampton
344,,Daniel N'Lundulu,F,Southampton
345,7700.0,Che Adams,F,Southampton
346,8456.0,Nathan Tella,M,Southampton
347,8224.0,William Smallbone,M,Southampton
348,,Michael Obafemi,F,Southampton
349,6736.0,Ibrahima Diallo,M,Southampton
350,7701.0,Moussa Djenepo,M,Southampton
351,6923.0,Mohammed Salisu,D,Southampton
352,,Joe Hart,G,Spurs
353,637.0,Hugo Lloris,G,Spurs
354,772.0,Moussa Sissoko,M,Watford
355,,Toby Alderweireld,D,Spurs
356,,Erik Lamela,M,Spurs
357,647.0,Harry Kane,F,Spurs
358,,Serge Aurier,D,Spurs
359,453.0,Heung-Min Son,M,Spurs
360,6852.0,Matt Doherty,D,Spurs
361,643.0,Eric Dier,D,Spurs
362,3293.0,Lucas Rodrigues Moura da Silva,M,Spurs
363,645.0,Bamidele Alli,M,Everton
364,660.0,Ben Davies,D,Spurs
365,343.0,Pierre-Emile Højbjerg,M,Spurs
366,971.0,Harry Winks,M,Spurs
367,6249.0,Davinson Sánchez,D,Spurs
368,6837.0,Ryan Sessegnon,D,Spurs
369,8300.0,Steven Bergwijn,M,Spurs
370,7187.0,Sergio Reguilón,D,Spurs
371,8222.0,Japhet Tanganga,D,Spurs
372,5681.0,Giovani Lo Celso,M,Spurs
373,7198.0,Oliver Skipp,M,Spurs
374,6377.0,Joe Rodon,D,Spurs
375,5962.0,Tanguy Ndombele,M,Spurs
376,803.0,Ben Foster,G,Watford
377,641.0,Danny Rose,D,Watford
378,462.0,Dan Gosling,M,Watford
379,581.0,Craig Cathcart,D,Watford
380,574.0,Troy Deeney,F,Watford
381,596.0,Tom Cleverley,M,Watford
382,5043.0,Francisco Femenía Far,D,Watford
383,,Andre Gray,F,Watford
384,1725.0,Christian Kabasele,D,Watford
385,,Nathaniel Chalobah,M,Watford
386,6104.0,Will Hughes,M,Crystal Palace
387,6996.0,William Troost-Ekong,D,Watford
388,,Stipe Perica,F,Watford
389,1025.0,Daniel Bachmann,G,Watford
390,1441.0,Adam Masina,D,Watford
391,6841.0,Ken Sema,M,Watford
392,,Philip Zinckernagel,M,Watford
393,,Isaac Success Ajayi,F,Watford
394,,Ayotomiwa Dele-Bashiru,M,Watford
395,1675.0,Ashley Fletcher,F,Watford
396,7081.0,Francisco Sierralta,D,Watford
397,,Domingos Quina,M,Watford
398,,Marc Navarro,D,Watford
399,5675.0,Ismaila Sarr,M,Watford
400,8235.0,Jeremy Ngakia,D,Watford
401,,Ben Wilmot,D,Watford
402,,Joseph Hungbo,M,Watford
403,7278.0,Imrân Louza,M,Watford
404,8272.0,João Pedro Junqueira de Jesus,F,Watford
405,,Kwadwo Baah,M,Watford
406,533.0,Mark Noble,M,West Ham
407,,Darren Randolph,G,West Ham
408,706.0,Lukasz Fabianski,G,West Ham
409,528.0,Angelo Ogbonna,D,West Ham
410,,Winston Reid,D,West Ham
411,534.0,Aaron Cresswell,D,West Ham
412,6274.0,Andriy Yarmolenko,M,West Ham
413,531.0,Michail Antonio,F,West Ham
414,804.0,Craig Dawson,D,West Ham
415,6891.0,Ryan Fredericks,D,West Ham
416,535.0,Manuel Lanzini,M,West Ham
417,1760.0,Arthur Masuaku,D,West Ham
418,8965.0,Vladimir Coufal,D,West Ham
419,3585.0,Saïd Benrahma,M,West Ham
420,1776.0,Jarrod Bowen,M,West Ham
421,5553.0,Declan Rice,M,West Ham
422,8288.0,Tomas Soucek,M,West Ham
423,2335.0,Pablo Fornals,M,West Ham
424,3203.0,Issa Diop,D,West Ham
425,6424.0,Ben Johnson,D,West Ham
426,3422.0,João Filipe Iria Santos Moutinho,M,Wolves
427,,Rui Pedro dos Santos Patrício,G,Wolves
428,6850.0,Willy Boly,D,Wolves
429,6851.0,Conor Coady,D,Wolves
430,4105.0,Raúl Jiménez,F,Wolves
431,3491.0,Romain Saïss,D,Wolves
432,5708.0,Fernando Marçal,D,Wolves
433,2280.0,Jonathan Castro Otto,D,Wolves
434,7236.0,Leander Dendoncker,M,Wolves
435,900.0,Adama Traoré,M,Wolves
436,6853.0,Rúben Diogo da Silva Neves,M,Wolves
437,6163.0,Nélson Cabral Semedo,D,Wolves
438,8291.0,Daniel Castelo Podence,M,Wolves
439,7332.0,Max Kilman,D,Wolves
440,6857.0,Morgan Gibbs-White,M,Wolves
441,6382.0,Pedro Lomba Neto,M,Wolves
442,,Owen Otasowie,M,Wolves
443,8351.0,Ki-Jana Hoever,D,Wolves
444,,Andreas Söndergaard,G,Wolves
445,8778.0,Fabio Silva,F,Wolves
446,,Yerson Mosquera Valdelamar,D,Wolves
447,501.0,Danny Welbeck,F,Brighton
448,5544.0,Angus Gunn,G,Norwich
449,6523.0,Milot Rashica,M,Norwich
450,9301.0,Emmanuel Dennis,F,Watford
451,9733.0,Nathan Collins,D,Burnley
452,785.0,John Ruddy,G,Wolves
